Date,Open,High,Low,Close,Volume
2023-07-24,42.98,43.31,42.2032,42.86,63214612
2023-07-25,43.08,44.28,43.08,43.72,69099563
2023-07-26,43.32,43.85,42.44,43.27,102882257
2023-07-27,45.11,45.69,42.45,42.9,130551596
2023-07-28,44.3,45.59,44.13,45.22,102243838
2023-07-31,45.33,45.71,44.82,45.31,79504586
2023-08-01,44.79,45.23,44.2107,44.96,77245627
2023-08-02,43.69,43.695,41.53,42.02,129022026
2023-08-03,41.11,42.46,41.05,41.72,101348926
2023-08-04,42.39,43.17,40.97,41.14,123726423
2023-08-07,41.73,42.2,40.94,42.16,74896059
2023-08-08,41.29,41.29,40.0,41.08,94390003
2023-08-09,41.155,41.21,39.45,39.71,99715266
2023-08-10,40.66,41.75,39.3728,39.89,130277051
2023-08-11,39.03,39.675,38.6,39.09,100786881
2023-08-14,38.83,40.44,38.6,40.39,71276790
2023-08-15,40.07,40.339,38.88,39.15,81276764
2023-08-16,38.92,39.4154,37.82,37.85,95110975
2023-08-17,38.25,38.36,36.43,36.57,105116378
2023-08-18,35.53,36.8094,35.37,36.4,123500980
2023-08-21,36.87,38.38,36.71,38.16,95743562
2023-08-22,38.97,38.98,37.77,37.99,90393034
2023-08-23,38.35,40.12,38.28,39.78,87727009
2023-08-24,40.88,40.905,37.1,37.16,116198600
2023-08-25,37.43,38.56,36.35,38.04,139144691
2023-08-28,38.95,39.1699,38.0801,38.89,91320515
2023-08-29,38.8,41.52,38.6908,41.37,93747831
2023-08-30,41.43,42.28,41.08,42.06,92979132
2023-08-31,42.04,42.98,42.02,42.44,81121447
2023-09-01,43.21,43.36,41.75,42.29,82529193
2023-09-05,41.97,42.82,41.66,42.4,61889339
2023-09-06,42.14,42.24,40.58,41.28,74029096
2023-09-07,39.74,40.6,39.38,40.38,84311499
2023-09-08,40.31,41.24,40.17,40.5,74882748
2023-09-11,41.49,42.09,40.8401,41.88,70856404
2023-09-12,41.34,41.8095,40.4,40.54,77762059
2023-09-13,40.58,41.4851,40.19,40.94,85424685
2023-09-14,41.5,42.24,40.8,41.9,76189878
2023-09-15,41.45,41.5878,39.43,39.75,89919829
2023-09-18,39.43,40.22,39.33,39.84,62399102
2023-09-19,39.41,39.825,38.6,39.6,74370736
2023-09-20,39.77,39.8999,37.7,37.75,98019232
2023-09-21,36.55,36.78,35.57,35.6,108410565
2023-09-22,36.13,36.78,35.5206,35.625,94090632
2023-09-25,35.31,36.14,35.01,36.1,81269205
2023-09-26,35.31,35.48,34.17,34.49,105339743
2023-09-27,34.809,35.2699,33.63,34.7,128435797
2023-09-28,34.39,36.1699,34.131,35.54,134072893
2023-09-29,36.58,37.0,35.23,35.62,143429055
2023-10-02,35.67,36.9,35.48,36.47,118231617
2023-10-03,35.71,36.39,34.04,34.54,133269526
2023-10-04,34.78,36.19,34.64,35.94,126379628
2023-10-05,35.89,36.0,34.5,35.56,109003076
2023-10-06,34.65,37.69,34.41,37.35,147448715
2023-10-09,36.61,38.09,36.14,37.9,105483032
2023-10-10,38.005,39.3699,37.85,38.52,108054751
2023-10-11,38.94,39.4119,38.4,39.34,95855425
2023-10-12,39.47,40.05,38.12,38.88,118254613
2023-10-13,39.09,39.2795,36.9741,37.41,130093765
2023-10-16,37.82,39.0,37.77,38.67,86576077
2023-10-17,37.52,38.82,36.85,38.3,105193461
2023-10-18,37.47,38.1799,36.3308,36.68,131582598
2023-10-19,37.15,37.51,35.4401,35.7,185025168
2023-10-20,35.52,35.7,34.02,34.09,138861395
2023-10-23,33.675,35.41,33.06,34.39,131799503
2023-10-24,34.9,35.59,34.4,35.36,122537254
2023-10-25,34.63,34.68,32.58,32.77,164181614
2023-10-26,32.38,32.6399,30.47,30.86,187023695
2023-10-27,31.575,32.23,30.95,31.3,147351082
2023-10-30,31.95,32.69,31.575,32.31,132152801
2023-10-31,32.32,32.885,31.5992,32.78,111461831
2023-11-01,33.0,34.63,32.97,34.47,166317806
2023-11-02,35.76,36.38,35.4,36.3,117067047
2023-11-03,36.7,37.98,36.63,37.58,114330614
2023-11-06,37.81,38.21,37.32,38.01,91799830
2023-11-07,38.35,39.37,37.97,39.08,102251119
2023-11-08,39.2,39.43,38.43,39.15,93980052
2023-11-09,39.34,39.71,38.0604,38.22,129182608
2023-11-10,38.75,40.83,38.58,40.77,124790853
2023-11-13,40.25,40.7299,39.75,40.4,90215210
2023-11-14,42.47,43.28,42.29,42.94,116776212
2023-11-15,43.62,43.78,42.6,43.06,109216251
2023-11-16,42.76,43.21,42.3305,43.13,89022468
2023-11-17,42.88,43.5,42.565,43.16,78934433
2023-11-20,43.15,44.95,43.14,44.7,83291267
2023-11-21,44.09,44.16,43.2916,43.89,74137637
2023-11-22,44.57,45.42,44.054,44.4,85929175
2023-11-24,44.25,44.45,43.85,44.18,31987709
